Player count: 2
Best rank classified hands:
AA966 [848.5, 1111.0, 0.7637263726372637]
AA777 [139.5, 185.0, 0.754054054054054]
AA876 [2187.75, 2916.0, 0.7502572016460906]
AQQ55 [828.0, 1116.0, 0.7419354838709677]
AKK55 [798.25, 1077.0, 0.7411792014856081]
AA885 [778.75, 1056.0, 0.7374526515151515]
AA975 [2099.25, 2862.0, 0.7334905660377359]
AAA55 [120.0, 165.0, 0.7272727272727273]
AAA73 [375.25, 517.0, 0.7258220502901354]
AA984 [2101.25, 2899.0, 0.7248189030700242]
AA776 [812.5, 1122.0, 0.7241532976827094]
AA993 [835.25, 1154.0, 0.723786828422877]
AAATT [138.0, 191.0, 0.7225130890052356]
AA955 [777.0, 1077.0, 0.7214484679665738]
AJJ55 [815.25, 1132.0, 0.7201855123674912]
AAA82 [342.75, 478.0, 0.7170502092050209]
AA875 [2035.0, 2845.0, 0.7152899824253075]
AA866 [810.0, 1133.0, 0.7149161518093556]
AJT55 [2127.5, 2977.0, 0.7146456163923413]
AAK82 [2069.25, 2897.0, 0.7142733862616499]
Best nuanced classified hands:
AaAbKb5b5a [16.0, 18.0, 0.8888888888888888]
AaAbAc5d5a [13.0, 15.0, 0.8666666666666667]
9a9b8a8b3b [19.75, 23.0, 0.8586956521739131]
AaAb9c6b6d [39.0, 46.0, 0.8478260869565217]
AaAbAc9c9a [11.0, 13.0, 0.8461538461538461]
AaAbAc5a5d [13.5, 16.0, 0.84375]
AaAb9c5b5c [31.0, 37.0, 0.8378378378378378]
AaAbTa5a4b [33.5, 40.0, 0.8375]
AaQbQa5a5c [37.5, 45.0, 0.8333333333333334]
AaAb9b7b4a [45.0, 54.0, 0.8333333333333334]
AaAb7a7b7c [12.5, 15.0, 0.8333333333333334]
Aa7a7b7c7d [5.0, 6.0, 0.8333333333333334]
KaKb7c7a7b [13.25, 16.0, 0.828125]
AaAb8a8b4a [19.0, 23.0, 0.8260869565217391]
AaKaKb5a5b [22.25, 27.0, 0.8240740740740741]
AaAbAcTbTc [14.0, 17.0, 0.8235294117647058]
AaAbAcTdTa [11.5, 14.0, 0.8214285714285714]
